course_title,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
PSYCHOLOGICAL SYSTMS-CAPPING,PSYC,478L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Psychology', '301L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '302L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '303L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '304L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '305L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '306L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '307L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '308L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '388L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Education', '351N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Education', '351L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '310L', 'Undergraduate', 'D', ')']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,367
MAGAZINE WRITING,COM,327L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Communication', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '103L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Communication', '242L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,368
INTRO TO MUSIC,MUS,105L,,,Communication and The Arts CO,School Communication Arts CO,3,369
GENERAL SURGERY-CR,PA,703N,,,MS Physician Assistant Studies PA,Physicians Assistant Studies PA,3,370
ADV ITALIAN II,ITAL,204L,,,Liberal Arts LA,School of Liberal Arts LA,4,371
BASIC PHOTO,ART,145N,,,Communication and The Arts CO,School Communication Arts CO,3,372
ADVANCED IMAGING,GRAP,380N,,,Communication and The Arts CO,School Communication Arts CO,3,373
MACHINE LEARNING,DATA,440L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,374
ENVIRONMT LAW,ENSC,425L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Environmental Science', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Political Science', '110L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,3,375
PUBLIC BUDGETING,MPA,503L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,376
ADV PRJCT DVLPMNT-GRAPHIC DSGN,GRAP,400N,,,Communication and The Arts CO,School Communication Arts CO,3,377
CREATIVE PROBLEM SOLVING,COM,329L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '324L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,378
PRINCIPLES OF MARKETING,BUS,210N,,,Management SM,School of Management SM,3,379
ADV RDNG+COMP-ITALIAN,ITAL,282L,,,Liberal Arts LA,School of Liberal Arts LA,3,380
PRINC MICROECONOM,ECON,103L,,,Management SM,School of Management SM,3,381
SUPV RESEARCH,PSYC,485L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,382
PEDIATRICS-CR,PA,704N,,,MS Physician Assistant Studies PA,Physicians Assistant Studies PA,3,383
HIST WEST ART I,ART,160L,,,Communication and The Arts CO,School Communication Arts CO,3,384
ENVIRON INVEST+REMEDIATION,ENSC,426L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Environmental Science', '101L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,3,385
FIRST AID/CPR,HLTH,202N,,,Science SI,School of Science SI,3,386
HR MANAGEMNT,BUS,301N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,387
RESEARCH I,ENSC,440L,,,Science SI,School of Science SI,3,388
EMERGENCY MED TECH I,HLTH,205N,,,Science SI,School of Science SI,4,389
OB/GYN-CR,PA,705N,,,MS Physician Assistant Studies PA,Physicians Assistant Studies PA,3,390
HIST WEST ART II,ART,180L,,,Communication and The Arts CO,School Communication Arts CO,3,391
INTERNSHIP,PSYC,487N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,392
BROADCAST NEWS WRITING,COM,331L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Communication', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '103L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Communication', '242L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,393
HIGH RENAISSANCE+MANNERISM,ITAL,311L,,,Liberal Arts LA,School of Liberal Arts LA,3,394
TOPICS IN NUTRITION,HLTH,225L,,,Science SI,School of Science SI,3,395
ST:SECRETS OF THE MET,ART,190L,,,Communication and The Arts CO,School Communication Arts CO,3,396
RESEARCH II,ENSC,441L,,,Science SI,School of Science SI,3,397
ITALIAN FOOD & CULTURE,ITAL,335L,,,Liberal Arts LA,School of Liberal Arts LA,3,398
BEHAVIORAL&MENTAL HLTH-CR,PA,706N,,,MS Physician Assistant Studies PA,Physicians Assistant Studies PA,3,399
INTERNSHIP,PSYC,488N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '487N', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,400
PRODUCING THE NEWSCAST,COM,332N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Communication', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '103L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Communication', '331L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Communication', '243L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,401
ST:ART,ART,193L,,,Communication and The Arts CO,School Communication Arts CO,3,402
RESEARCH I,ENSC,442L,,,Science SI,School of Science SI,2,403
ITALIAN FOR BUSINESS,ITAL,361L,,,Liberal Arts LA,School of Liberal Arts LA,3,404
ORGANIZ BEHAVIOR,BUS,302N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,405
SCIENCE OF FOOD/HLTH/WELLBNG,HLTH,282L,,,Science SI,School of Science SI,3,406
JAZZ AND SOUND,MUS,106L,,,Communication and The Arts CO,School Communication Arts CO,3,407
3D DESIGN,ART,201N,,,Communication and The Arts CO,School Communication Arts CO,3,408
EMERGENCY MEDICINE-CR,PA,707N,,,MS Physician Assistant Studies PA,Physicians Assistant Studies PA,3,409
INTERNSHIP,PSYC,489N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '487N', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,410
COMM IN PUBLIC ADMIN,ITAL,364L,,,Liberal Arts LA,School of Liberal Arts LA,3,411
APPLIED RESEARCH + ANALYTICS,COM,333L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '211L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Communication', '200L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,412
ADMINISTRAT LAW,MPA,506N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,413
RESEARCH I,ENSC,443L,,,Science SI,School of Science SI,1,414
ST: THE JOURNEY TO WELL-BEING,HLTH,292L,,,Science SI,School of Science SI,3,415
BEGINNER PIANO,MUS,107N,,,Communication and The Arts CO,School Communication Arts CO,1,416
PRINC MACROECONOM,ECON,104L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Economics', '103L', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,417
INTERM PAINTING,ART,202N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Art', '111N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,418
ST:BLACK ITALIAN,ITAL,392L,,,Liberal Arts LA,School of Liberal Arts LA,3,419
PRESS IN AMERICA,COM,341L,,,Communication and The Arts CO,School Communication Arts CO,3,420
ELECTIVE/GERIATRIC,PA,708N,,,MS Physician Assistant Studies PA,Physicians Assistant Studies PA,3,421
RESEARCH II,ENSC,446L,,,Science SI,School of Science SI,1,422
TECH MGT PUB MANAGERS,MPA,507N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,423
INTERNSHIP,PSYC,490N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '487N', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,424
EXERCISE PHYS,HLTH,301L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '201L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '202L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,425
ITALIAN WOMEN'S LITERATURE,ITAL,435L,,,Liberal Arts LA,School of Liberal Arts LA,3,426
READ-JOURNALISM,COM,342L,,,Communication and The Arts CO,School Communication Arts CO,3,427
COMMUNICATIONS & LEADERSHIP,BUS,305N,,,Management SM,School of Management SM,3,428
INST: TICK ECOLOGY,ENSC,460L,,,Science SI,School of Science SI,1,429
INTERMEDIATE PIANO,MUS,108N,,,Communication and The Arts CO,School Communication Arts CO,1,430
DRAW II:MEDIA+TECH,ART,203N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Art', '110N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,431
THEMES IN MOD HIST,HIST,101L,,,Liberal Arts LA,School of Liberal Arts LA,3,432
STATS FOR PUB MANAGERS,MPA,508L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,433
ELECTIVE-CR,PA,709N,,,MS Physician Assistant Studies PA,Physicians Assistant Studies PA,3,434
CAPPING,ITAL,477L,,,Liberal Arts LA,School of Liberal Arts LA,3,435
INST: NATURAL HISTORY,ENSC,465L,,,Science SI,School of Science SI,3,436
INTERNSHIP,PSYC,491N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Psychology', '487N', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,437
ECON-SOCIAL ISSUES,ECON,150L,,,Management SM,School of Management SM,3,438
DATA MODELING FOR BUSINESS,BUS,310N,,,Management SM,School of Management SM,3,439
PLANNING & EVALUA,MPA,513L,,,MPA MP,MPA MP,3,440
VOCAL SKILLS I,MUS,112L,,,Communication and The Arts CO,School Communication Arts CO,3,441
ELEM JAPANESE I,JPN,101L,,,Liberal Arts LA,School of Liberal Arts LA,3,442
ENV SCI INTERN,ENSC,498N,,,Science SI,School of Science SI,6,443
PHOTOJOURNALISM,COM,345L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Communication', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '103L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Communication', '242L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,444
ISLAM AND THE WEST,IRES,203L,,,Liberal Arts LA,School of Liberal Arts LA,3,445
BASIC PRINTMAKING,ART,207N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Art', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Art', '101N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,446
ORGANIZATIONAL BEHAVIOR,BUS,311N,,,Management SM,School of Management SM,3,447
PLACEHOLDER ROTATION,PA,720N,,,MS Physician Assistant Studies PA,Physicians Assistant Studies PA,3,448
ORGANZ THEORY+CHANGE,MPA,530N,,,MPA MP,MPA MP,3,449
RADIO NEWS I,COM,346L,,,Communication and The Arts CO,School Communication Arts CO,3,450
FASHION IN CULTURE+COMMERCE,FASH,100L,,,Communication and The Arts CO,School Communication Arts CO,3,451
INTENSIVE ISLAM IN THE WEST,IRES,204L,,,Liberal Arts LA,School of Liberal Arts LA,4,452
INTRO TO WGSS,HIST,130L,,,Liberal Arts LA,School of Liberal Arts LA,3,453
INTER JAPANESE I,JPN,105L,,,Liberal Arts LA,School of Liberal Arts LA,3,454
ROMAN CIV-MONUMNTS,ART,208L,,,Communication and The Arts CO,School Communication Arts CO,3,455
THEORY OF MUSIC I,MUS,120L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Music', '103L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,456
INTERMED MICROECON,ECON,303L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Economics', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '102L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'Economics', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '104L', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,457
MPA INTERNSHIP,MPA,660N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,458
INTRO TO RELIGION,REST,107L,,,Liberal Arts LA,School of Liberal Arts LA,3,459
COLLEGE PHYSICS I,PHYS,201L,,,Science SI,School of Science SI,3,460
FLORENCE & THE HOUSE OF MEDICI,HIST,202L,,,Liberal Arts LA,School of Liberal Arts LA,3,461
ST:ORAN INTEN JAPANESE I,JPN,192L,,,Liberal Arts LA,School of Liberal Arts LA,3,462
THE ANIMATED SHORT FILM,ART,209N,,,Communication and The Arts CO,School Communication Arts CO,3,463
REPUTATION+RELATION MGMT,COM,347L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '211L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,464
INSTRUM SKILL I: GUITAR,MUS,140L,,,Communication and The Arts CO,School Communication Arts CO,3,465
FINANCIAL MGMT,BUS,320N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Mathematics', '130L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Mathematics', '330L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Economics', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '104L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'Economics', '102L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '103L', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,466
ST:AMER SIGN LANG,LANG,192L,,,Liberal Arts LA,School of Liberal Arts LA,3,467
US HEALTHCARE POL,MPA,681N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,468
AFGHANISTAN+ ITS WARS,HIST,206L,,,Liberal Arts LA,School of Liberal Arts LA,3,469
RELIGION IN AMER,REST,201L,,,Liberal Arts LA,School of Liberal Arts LA,3,470
GENERAL PHYSICS I,PHYS,211L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Mathematics', '241L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,3,471
SELF DEVELOPMENT-FOCUS,LERN,104L,,,Registrar RG,Registrar RG,3,472
DIGTL LAYOUT+DESIGN,ART,211L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Art', '231L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,473
"INTEGRAT STRAT,TACT+STKHLDRS",COM,348L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '211L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,474
INTERMED MACROECO,ECON,304L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Economics', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '102L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'Economics', '104L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '101L', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,475
WAR IN THE ANCIENT WORLD,HIST,208L,,,Liberal Arts LA,School of Liberal Arts LA,3,476
THRY OF MUSIC II,MUS,220L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Music', '120L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,477
NEGTNS&CNFLT MGT,MPA,685N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,478
GLOBAL SPORTS MARKETING,COM,352L,,,Communication and The Arts CO,School Communication Arts CO,3,479
CHRISTIANITY,REST,203L,,,Liberal Arts LA,School of Liberal Arts LA,3,480
DIGTL LAYOUT+DESIGN,ART,211N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Art', '231L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,481
MUSIC CULT-WRLD,MUS,226L,,,Communication and The Arts CO,School Communication Arts CO,3,482
CREATIVE PROCESS,FASH,126N,,,Communication and The Arts CO,School Communication Arts CO,3,483
PHYSICS LAB I,PHYS,213L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Physics', '201L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Physics', '211L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,1,484
ENVIRON ECONOMICS,ECON,305L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Economics', '102L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '103L', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,485
ETHICAL MGT OF ORGNZT,MPA,688N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,486
SPORTS IN GLOBAL CINEMA & TV,COM,353L,,,Communication and The Arts CO,School Communication Arts CO,3,487
PRIN OF JUDAISM,REST,204L,,,Liberal Arts LA,School of Liberal Arts LA,3,488
DIGITAL HUMANITIES,HIST,209L,,,Liberal Arts LA,School of Liberal Arts LA,3,489
INTRNTNL RETAILING,BUS,325N,,,Management SM,School of Management SM,3,490
FASH FIG DRAW,FASH,130N,,,Communication and The Arts CO,School Communication Arts CO,1,491
ECONOMICS OF THE EU UNION,ECON,316L,,,Management SM,School of Management SM,3,492
WORLD RELIGIONS,REST,209L,,,Liberal Arts LA,School of Liberal Arts LA,3,493
HIST-CULT:MID HUD,HIST,218L,,,Liberal Arts LA,School of Liberal Arts LA,3,494
INTRO TO LAW,POSC,102L,,,Liberal Arts LA,School of Liberal Arts LA,3,495
LDRSHP+MGTMNT IN NONPRFT ORG,BUS,335L,,,Management SM,School of Management SM,3,496
CRIT READ+THINK,LERN,105L,,,Liberal Arts LA,School of Liberal Arts LA,1,497
JAZZ FOXES,MUS,230N,,,Communication and The Arts CO,School Communication Arts CO,1,498
VISUAL STORYTELLING,COM,354N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '329L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '210L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,499
EMPIRE ST:HIST-NY,HIST,220L,,,Liberal Arts LA,School of Liberal Arts LA,3,500
FASH DESGN I:DRAW&COLOR,FASH,140N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '126N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Fashion', '130N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,501
QUAN METH ECON+BUS,ECON,320L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Mathematics', '130L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Mathematics', '115L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Mathematics', '241L', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,502
BRASS ENSEMB,MUS,231N,,,Communication and The Arts CO,School Communication Arts CO,1,503
POLITICAL SCI LAB,POSC,106L,,,Liberal Arts LA,School of Liberal Arts LA,0,504
COMM INTERNSHIP,COM,359N,,,Communication and The Arts CO,School Communication Arts CO,1,505
TRANSFER SEMINAR,LERN,119L,,,Registrar RG,Registrar RG,1,506
INNOVATION IN PUB ADMIN,MPA,699L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '501L', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '505N', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '506N', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '507N', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '508L', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '513L', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '530N', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '503L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,507
AM MILT HIST,HIST,223L,,,Liberal Arts LA,School of Liberal Arts LA,3,508
RELIGIONS OF INDIA,REST,215L,,,Liberal Arts LA,School of Liberal Arts LA,3,509
MARKTNG PRINCIP,BUS,340N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Economics', '103L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '150L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'Business', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,510
FLUTE CHOIR,MUS,232N,,,Communication and The Arts CO,School Communication Arts CO,1,511
AMER NATL GOVT,POSC,110L,,,Liberal Arts LA,School of Liberal Arts LA,3,512
AMER HIST II,HIST,227L,,,Liberal Arts LA,School of Liberal Arts LA,3,513
THE COLLEGE EXPERIENCE,LERN,120N,,,Liberal Arts LA,School of Liberal Arts LA,1,514
COM INTERNSHIP,COM,360N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Career Development', '100N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,4,515
APP OF PERS THRY IN SCH PSY,PSYH,511L,,,MA School Psychology BZ,MA School Psychology BZ,3,516
MADE IN ITALY:CULTURE OF EXCEL,FASH,183L,,,Communication and The Arts CO,School Communication Arts CO,3,517
ANCIENT GREEK RELIGION,REST,216L,,,Liberal Arts LA,School of Liberal Arts LA,3,518
PUBLIC FINANCE,ECON,321L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Economics', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '104L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'Economics', '102L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '103L', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,519
WOODWIND ENSEMBLE,MUS,233N,,,Communication and The Arts CO,School Communication Arts CO,1,520
ROMEO AND JULIET,LIT,273L,,,Liberal Arts LA,School of Liberal Arts LA,3,521
PROFESS ORIENTATION+ETHICS,PSYH,600L,,,MA School Psychology BZ,MA School Psychology BZ,3,522
AMER SINCE 1945,HIST,228L,,,Liberal Arts LA,School of Liberal Arts LA,3,523
PRINCIPLES OF FINANCE,ECON,332N,,,Management SM,School of Management SM,3,524
ORCHESTRA,MUS,234N,,,Communication and The Arts CO,School Communication Arts CO,1,525
