course_title,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
IMMUNOLOGY,BIOL,315L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,35
INTERM ACCTING I,ACCT,301N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,36
ADVANCED SCREENWRITING,MDIA,401L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Media Studies & Production', '301L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '321L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,37
INTRO MODERN DANCE,PHED,142N,,,Science SI,School of Science SI,3,38
ANCIENT GREEK LIT,ENG,360L,,,Liberal Arts LA,School of Liberal Arts LA,3,39
HEALTH PSYCHOLOGY,PSYC,213L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,40
"GENDER, FASH & GEOGRAPHY",IFAS,433N,,,Communication and The Arts CO,Fashion FA,3,41
EMERGING TECHNOLOGIES,MSIS,620L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,42
HONORS THESIS PROJECT,HONR,420L,,,Registrar RG,Registrar RG,3,43
JUV JUST SYST,CRJU,305L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,44
INTRO TO BALLET,PHED,143N,,,Science SI,School of Science SI,3,45
FIRST YEAR SEMINAR,FYS,101L,,,Liberal Arts LA,School of Liberal Arts LA,4,46
LIT OF HOLOCAUST,ENG,373L,,,Liberal Arts LA,School of Liberal Arts LA,3,47
